date,ABEV3.SA,ALOS3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRAV3.SA,BRKM5.SA,CEAB3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CURY3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,EMBJ3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MBRF3.SA,MGLU3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,POMO4.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2018-02-01,15.771912,18.228893,,,15.185024,46.004295,6.476671,11.346482,13.173298,13.957063,14.867588,7.543042,4.256598,4.490154,,37.116711,,1.649492,,13.364149,13.560573,1.304508,9.154453,7.110566,6.688262,,,9.485224,1.121585,11.895529,20.092215,3.5725,20.351305,11.719726,18.76614,7.330969,2.842373,,27.342264,,7.856299,4.886808,18.503239,10.547,22.233311,4.161345,22.670164,11.996831,10.825096,19.218273,34.548843,6.14108,5.30413,1.9051,1.769758,14.415046,14.176154,13.344861,,,20.040337,21.302559,5.654695,3.9655,,18.076773,8.782156,8.141362,9.810385,14.263284,9.166952,21.705671,,,,11.853114,7.704302,28.153191
2018-02-02,15.615828,17.968483,,,14.730964,44.004787,6.410107,11.192495,12.851492,13.523745,14.788405,7.550765,4.226409,4.397939,,37.040806,,1.60427,,13.218095,13.404918,1.292567,9.156533,7.017914,6.477749,,,9.405824,1.121585,11.865865,20.978632,3.55,20.066038,11.490935,18.690161,7.305896,2.83829,,27.055601,,7.876056,4.809123,18.270676,10.505313,21.979656,4.06343,22.14209,11.63492,10.789603,19.171471,34.055286,5.977355,5.161964,1.863585,1.727226,13.872513,13.98069,12.967622,,,19.98527,21.186161,5.508507,4.019172,,18.2229,8.769172,8.068832,9.705058,14.104707,9.2453,21.191469,,,,11.88005,7.458421,27.73859
2018-02-05,15.381698,17.484858,,,14.730964,43.421284,6.141373,10.858858,12.565133,13.305505,14.555515,7.543042,4.218358,4.33268,,36.797913,,1.550436,,12.796154,13.386241,1.247194,9.081634,6.892286,6.104843,,,9.137087,1.083913,11.701061,20.604372,3.5,19.968782,11.356644,17.810099,6.889706,2.691271,,26.445547,,7.688948,4.66115,17.629343,10.570826,21.218687,4.002235,21.289259,11.457819,10.647635,18.706095,33.759155,5.70818,4.921573,1.803618,1.686891,13.594935,13.956686,12.741278,,,19.670532,20.324738,5.357652,3.91682,,18.102556,8.67395,7.875421,9.533528,13.827628,8.900561,20.957735,,,,12.068627,7.37646,27.081499
2018-02-06,15.339128,17.484858,,,15.549764,42.651031,6.161097,11.335078,12.930846,13.622313,14.867588,7.334587,4.166032,4.490154,,37.002853,,1.625805,,12.723126,13.573025,1.266896,9.248079,6.958242,6.339412,,,9.118763,1.047954,11.849382,21.668077,3.4625,20.11142,11.510827,17.71513,7.305896,2.756612,,26.313244,,7.726136,4.842416,18.263613,10.570826,21.448746,4.100148,21.555935,11.581022,10.690226,18.277121,34.460003,5.994005,5.167135,1.812843,1.607219,13.904053,13.876102,12.901605,,,19.426624,21.063929,5.41675,4.001697,,17.982216,8.717231,8.425435,9.21454,13.940897,9.166952,22.058861,,,,12.453855,7.599394,27.652544
2018-02-07,15.339128,17.492298,,,15.676307,41.592922,6.082204,11.346482,12.609989,13.418143,14.555515,7.195616,4.357226,4.410707,,36.797913,,1.621498,,12.585183,13.927917,1.25197,9.229354,6.917409,6.116871,,,9.021041,1.04453,11.790053,21.362755,3.48,20.526356,11.62025,17.791105,7.050166,2.723941,,26.423496,,7.761001,4.742535,17.8302,10.860928,20.734968,3.977757,20.858879,11.219114,10.548255,18.199121,34.548843,5.821953,5.024968,1.771327,1.597434,14.257337,13.948116,12.637537,,,19.497437,20.662323,5.366983,4.009186,,17.965027,8.725886,8.564447,8.937682,13.92347,9.088603,21.664118,,,,12.286831,7.507596,27.769882
2018-02-08,15.367505,17.484858,,,16.108032,40.690434,6.03043,10.990032,12.237381,13.252708,14.178239,7.056645,4.357226,4.35396,,35.32539,,1.57197,,12.171357,13.896786,1.24182,9.012975,6.862449,6.038682,,,8.990501,1.034256,11.595587,21.274107,3.5225,20.072519,11.505855,17.879745,6.899734,2.674934,,25.989843,,7.555298,4.698142,17.742115,10.518336,20.516703,3.928799,20.066767,11.334617,10.633437,17.814339,33.660442,5.647129,4.924157,1.789779,1.557498,13.522386,13.862384,12.260297,,,19.245651,20.563375,5.283003,3.963003,,17.088263,8.561413,8.298506,9.088147,13.627229,8.877057,21.601795,,,,12.055155,7.287944,26.79207
2018-02-09,15.246894,17.685745,,,15.720964,41.390644,5.914555,10.784717,12.192527,13.101348,14.25742,7.033484,4.288799,4.422058,,34.1413,,1.56551,,12.220044,13.747357,1.240626,9.033781,6.802776,5.948463,,,8.886671,1.018845,11.519777,21.116524,3.49,20.098452,11.401406,17.949392,7.035121,2.703522,,26.349991,,7.523918,4.690742,17.78792,10.350038,19.566963,3.928799,19.509651,11.334617,10.590846,17.611547,33.275471,5.574979,4.85178,1.729812,1.551109,13.276355,13.690928,12.128263,,,18.797159,20.243252,5.185025,4.007938,,17.122646,8.505145,8.177629,8.979813,13.468652,8.798707,21.814747,,,,12.152138,7.186312,26.119333
2018-02-14,15.77901,17.447655,,,16.026155,42.316486,6.025497,11.280894,12.558237,13.580061,14.462364,7.218778,4.498106,4.727076,,34.991417,,1.619345,,12.747469,13.809619,1.295553,8.9568,6.978658,6.46572,,,9.082116,1.035968,11.677991,21.421846,3.54,20.487453,11.598698,18.690161,7.501456,2.801535,,27.158501,,7.740083,4.842416,18.556097,10.398123,19.997591,3.837004,19.72352,11.149813,10.945767,18.118525,33.048435,5.655454,4.975856,1.771327,1.635373,13.629633,14.11443,12.430055,,,19.662664,20.95916,5.505396,4.2064,,17.466475,8.82544,8.67324,9.091156,13.656855,9.378498,23.118435,,,,12.362257,7.507596,26.706022
2018-02-15,15.821578,17.522057,,,15.959164,42.285362,6.190682,11.377849,12.641044,13.636384,14.56483,7.326867,4.558484,4.932786,,34.710571,,1.70548,,12.990894,13.896786,1.283612,9.031699,7.028907,6.351443,,,9.143195,1.030831,11.849382,21.559734,3.5,20.422619,11.580461,18.500217,7.521513,2.875045,,27.195257,,7.709866,4.842416,18.55961,10.518336,20.646484,3.800286,20.914324,11.280717,10.910276,17.926136,32.870754,5.752579,5.014627,1.812843,1.628185,13.658024,14.119575,12.590381,,,19.395144,21.174513,5.502286,4.181436,,17.440687,8.916335,8.516093,9.030969,13.766636,9.503858,23.866367,,,,12.391894,7.674798,26.596506
2018-02-16,15.913813,17.484858,,,15.966608,42.013062,6.296698,11.491914,12.578938,13.61174,14.788405,7.265101,4.54842,4.954066,,33.412628,,1.742088,,12.77181,13.996404,1.280627,8.925591,6.956672,6.393545,,,9.161518,1.049666,12.109776,21.796114,3.5,20.487453,11.628542,18.341938,7.987847,3.038399,,27.070311,,7.623865,4.957094,18.707947,10.530352,20.404621,3.726852,20.755899,11.288416,10.967064,17.77014,33.18663,5.749804,5.019798,1.794392,1.640365,13.629633,14.050994,12.571519,,,19.473829,21.325844,5.552052,4.153976,,18.343241,8.937976,8.516093,9.043009,13.723072,9.496023,23.907923,,,,11.995893,7.497763,26.221027
