date,ticker,return_daily,cumulative_return,log_return,ticker_clean
2022-11-30,ENGI11.SA,-1.043606,89.932688,-0.010491,ENGI11
2022-12-01,ENGI11.SA,0.562466,91.000995,0.005609,ENGI11
2022-12-02,ENGI11.SA,-0.722463,89.621084,-0.007251,ENGI11
2022-12-05,ENGI11.SA,-3.145531,83.656494,-0.031961,ENGI11
2022-12-06,ENGI11.SA,0.533198,84.635746,0.005318,ENGI11
2022-12-07,ENGI11.SA,2.651885,89.532073,0.026173,ENGI11
2022-12-08,ENGI11.SA,-2.09019,85.570493,-0.021123,ENGI11
2022-12-09,ENGI11.SA,0.407795,86.327239,0.00407,ENGI11
2022-12-12,ENGI11.SA,-0.286687,85.793064,-0.002871,ENGI11
2022-12-13,ENGI11.SA,-0.071875,85.659525,-0.000719,ENGI11
2022-12-14,ENGI11.SA,0.719241,86.994865,0.007167,ENGI11
2022-12-15,ENGI11.SA,-1.856676,83.522977,-0.018741,ENGI11
2022-12-16,ENGI11.SA,0.824641,85.036383,0.008213,ENGI11
2022-12-19,ENGI11.SA,2.910742,90.422314,0.028692,ENGI11
2022-12-20,ENGI11.SA,1.589514,93.449104,0.01577,ENGI11
2022-12-21,ENGI11.SA,-0.989418,91.535083,-0.009943,ENGI11
2022-12-22,ENGI11.SA,0.697212,92.870488,0.006948,ENGI11
2022-12-23,ENGI11.SA,2.030924,96.787541,0.020106,ENGI11
2022-12-26,ENGI11.SA,-1.696468,93.449104,-0.01711,ENGI11
2022-12-27,ENGI11.SA,-0.690268,92.113786,-0.006927,ENGI11
2022-12-28,ENGI11.SA,3.035219,97.944859,0.029901,ENGI11
2022-12-29,ENGI11.SA,-0.65214,96.653981,-0.006543,ENGI11
2023-01-02,ENGI11.SA,-3.372564,90.021699,-0.034307,ENGI11
2023-01-03,ENGI11.SA,-1.428893,87.306491,-0.014392,ENGI11
2023-01-04,ENGI11.SA,-1.283293,84.902801,-0.012916,ENGI11
2023-01-05,ENGI11.SA,-0.096291,84.724757,-0.000963,ENGI11
2023-01-06,ENGI11.SA,-0.50601,83.790032,-0.005073,ENGI11
2023-01-09,ENGI11.SA,0.072658,83.92357,0.000726,ENGI11
2023-01-10,ENGI11.SA,-0.242014,83.47845,-0.002423,ENGI11
2023-01-11,ENGI11.SA,2.134908,87.395546,0.021124,ENGI11
2023-01-12,ENGI11.SA,3.467894,93.894224,0.034091,ENGI11
2023-01-13,ENGI11.SA,-3.696032,86.727832,-0.037661,ENGI11
2023-01-16,ENGI11.SA,-2.646002,81.787011,-0.026816,ENGI11
2023-01-17,ENGI11.SA,2.644459,86.594294,0.026101,ENGI11
2023-01-18,ENGI11.SA,0.023851,86.6388,0.000238,ENGI11
2023-01-19,ENGI11.SA,0.64393,87.840623,0.006419,ENGI11
2023-01-20,ENGI11.SA,-2.843595,82.499197,-0.028848,ENGI11
2023-01-23,ENGI11.SA,0.682911,83.745505,0.006806,ENGI11
2023-01-24,ENGI11.SA,-0.096897,83.567461,-0.000969,ENGI11
2023-01-25,ENGI11.SA,3.322021,89.665611,0.03268,ENGI11
2023-01-26,ENGI11.SA,2.11216,93.671653,0.020902,ENGI11
2023-01-27,ENGI11.SA,-0.942288,91.846709,-0.009468,ENGI11
2023-01-30,ENGI11.SA,-1.345716,89.264996,-0.013549,ENGI11
2023-01-31,ENGI11.SA,-0.846676,87.662536,-0.008503,ENGI11
2023-02-01,ENGI11.SA,0.332078,88.285722,0.003315,ENGI11
2023-02-02,ENGI11.SA,2.435005,92.870488,0.024058,ENGI11
2023-02-03,ENGI11.SA,-1.777073,89.44304,-0.017931,ENGI11
2023-02-06,ENGI11.SA,-1.574238,86.460756,-0.015868,ENGI11
2023-02-07,ENGI11.SA,-3.556932,79.828474,-0.036217,ENGI11
2023-02-08,ENGI11.SA,2.425717,84.190603,0.023968,ENGI11
2023-02-09,ENGI11.SA,-5.582389,73.908367,-0.057443,ENGI11
2023-02-10,ENGI11.SA,3.634494,80.229056,0.0357,ENGI11
2023-02-13,ENGI11.SA,0.024712,80.273594,0.000247,ENGI11
2023-02-14,ENGI11.SA,-2.493827,75.777882,-0.025254,ENGI11
2023-02-15,ENGI11.SA,1.949837,79.205265,0.019311,ENGI11
2023-02-16,ENGI11.SA,-0.248374,78.760167,-0.002487,ENGI11
2023-02-17,ENGI11.SA,0.747025,80.09555,0.007442,ENGI11
2023-02-22,ENGI11.SA,-2.694032,75.243718,-0.02731,ENGI11
2023-02-23,ENGI11.SA,-1.066809,73.374203,-0.010725,ENGI11
2023-02-24,ENGI11.SA,-0.385097,72.706543,-0.003858,ENGI11
2023-02-27,ENGI11.SA,0.515458,73.596774,0.005141,ENGI11
2023-02-28,ENGI11.SA,-0.564096,72.617521,-0.005657,ENGI11
2023-03-01,ENGI11.SA,0.206293,72.97362,0.002061,ENGI11
2023-03-02,ENGI11.SA,-1.569749,70.258369,-0.015822,ENGI11
2023-03-03,ENGI11.SA,-0.679736,69.101062,-0.006821,ENGI11
2023-03-06,ENGI11.SA,1.42142,71.504698,0.014114,ENGI11
2023-03-07,ENGI11.SA,0.960304,73.151664,0.009557,ENGI11
2023-03-08,ENGI11.SA,2.724917,77.869903,0.026885,ENGI11
2023-03-09,ENGI11.SA,0.900899,79.472331,0.008969,ENGI11
