year,ticker,ticker_clean,longName,shortName,sector,industry,beta_selic_30d,pvalue,r2,n_obs,significant,median_return_30d_after_copom,mean_return_30d_after_copom,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct,beta_band,beta_abs,sig_label
2022,SBSP3.SA,SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SABESP      ON      NM,Utilities,Utilities - Regulated Water,11.4947,0.079,0.6959,5,False,6.2164,9.0617,32.7685,-20.3868,19614035.0,85.7261,Menos sensível,11.4947,nao_significativo
2022,BRAV3.SA,BRAV3,Brava Energia S.A.,BRAVA       ON      NM,Energy,Oil & Gas E&P,12.0868,0.5887,0.1083,5,False,10.4545,5.3067,49.7908,-41.9996,4454900.0,81.7211,Menos sensível,12.0868,nao_significativo
2022,SLCE3.SA,SLCE3,SLC Agrícola S.A.,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,12.473,0.5556,0.1273,5,False,6.8281,1.1235,37.9211,-31.6045,4130345.0,353.8943,Menos sensível,12.473,nao_significativo
2022,RDOR3.SA,RDOR3,Rede D'Or São Luiz S.A.,REDE D OR   ON      NM,Healthcare,Medical Care Facilities,12.589,0.4277,0.2181,5,False,-2.4957,-3.3891,42.9146,-55.7291,4811638.0,-53.9185,Menos sensível,12.589,nao_significativo
2022,VALE3.SA,VALE3,Vale S.A.,VALE        ON      NM,Basic Materials,Other Industrial Metals & Mining,21.4955,0.0776,0.6992,5,False,-2.6748,2.1003,38.0376,-34.5907,31656212.0,205.637,Menos sensível,21.4955,nao_significativo
2022,BRAP4.SA,BRAP4,Bradespar S.A.,BRADESPAR   PN      N1,Financial Services,Asset Management,26.7766,0.0806,0.6921,5,False,-3.4314,1.1065,33.9011,-37.6422,4055229.0,369.4936,Menos sensível,26.7766,nao_significativo
2022,CSNA3.SA,CSNA3,Companhia Siderúrgica Nacional,SID NACIONALON,Basic Materials,Steel,27.0416,0.0845,0.6831,5,False,-0.9346,-1.7055,53.531,-57.0948,12153403.0,119.58,Menos sensível,27.0416,nao_significativo
2024,CEAB3.SA,CEAB3,C&A Modas S.A.,CEA MODAS   ON      NM,Consumer Cyclical,Specialty Retail,-27.4273,0.0848,0.5651,6,False,5.475,3.6759,60.0567,-41.7089,3752295.0,-54.6368,Mais sensível,27.4273,nao_significativo
2024,USIM5.SA,USIM5,Usinas Siderúrgicas de Minas Gerais S.A.,USIMINAS    PNA     N1,Basic Materials,Steel,-15.8498,0.1319,0.4715,6,False,-1.2733,-0.8022,41.2644,-51.2086,13463944.0,-29.2704,Mais sensível,15.8498,nao_significativo
2024,GOAU4.SA,GOAU4,Metalurgica Gerdau S.A.,GERDAU MET  PN      N1,Basic Materials,Steel,-10.5232,0.1296,0.4756,6,False,0.4207,-1.9395,24.8158,-13.9379,10285197.0,194.5518,Mais sensível,10.5232,nao_significativo
