copom_date,delta_selic,ticker,return_30d,year,ticker_clean,sector,industry,longName,shortName,avg_volatility_20d,max_drawdown_pct,avg_volume,total_return_pct
2018-02-08,-0.25,ITUB4.SA,8.038961272594003,2018,ITUB4,Financial Services,Banks - Regional,Itaú Unibanco Holding S.A.,ITAUUNIBANCOPN  EJ  N1,29.2467,-28.8179,23104604.0,29.5104
2018-02-08,-0.25,KLBN11.SA,6.387908913957618,2018,KLBN11,Basic Materials,Paper & Paper Products,Klabin S.A.,KLABIN S/A  UNT     N2,21.1012,-27.9879,3729422.0,-7.664
2018-02-08,-0.25,LREN3.SA,7.989154985369984,2018,LREN3,Consumer Cyclical,Department Stores,Lojas Renner S.A.,LOJAS RENNERON      NM,34.2083,-27.7114,4737251.0,21.5839
2018-02-08,-0.25,MBRF3.SA,-6.697797469404776,2018,MBRF3,Consumer Defensive,Packaged Foods,MBRF Global Foods Company S.A.,MARFRIG     ON      NM,42.2331,-41.3793,3223964.0,-25.2055
2018-02-08,-0.25,MGLU3.SA,22.750022540126412,2018,MGLU3,Consumer Cyclical,Specialty Retail,Magazine Luiza S.A.,MAGAZ LUIZA ON      NM,47.9812,-21.4708,5652917.0,128.9651
2018-02-08,-0.25,MOTV3.SA,-15.149457630548968,2018,MOTV3,Industrials,Infrastructure Operations,Motiva Infraestrutura de Mobilidade S.A.,MOTIVA SA   ON      NM,39.9437,-51.6602,8010101.0,-28.6477
2018-02-08,-0.25,MRVE3.SA,3.4182538392117046,2018,MRVE3,Real Estate,Real Estate - Development,MRV Engenharia e Participações S.A.,MRV         ON      NM,32.5195,-26.2757,3534596.0,-2.1026
2018-02-08,-0.25,MULT3.SA,2.4505399781177495,2018,MULT3,Real Estate,Real Estate Services,Multiplan Empreendimentos Imobiliários S.A.,MULTIPLAN   ON      N2,28.3171,-30.1495,2609711.0,2.6871
2018-02-08,-0.25,NATU3.SA,-0.8602823383026093,2018,NATU3,Consumer Defensive,Household & Personal Products,Natura Cosméticos S.A.,NATURA      ON      NM,35.4533,-31.0664,1783020.0,39.9951
2018-02-08,-0.25,PETR3.SA,19.462405149866925,2018,PETR3,Energy,Oil & Gas Integrated,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   ON  EJ  N2,44.9857,-45.4961,11382491.0,47.9997
2018-02-08,-0.25,PETR4.SA,19.28613828326924,2018,PETR4,Energy,Oil & Gas Integrated,Petróleo Brasileiro S.A. - Petrobras,PETROBRAS   PN  EX  N2,48.6754,-46.9551,66845516.0,42.9595
2018-02-08,-0.25,POMO4.SA,3.7186121960074425,2018,POMO4,Industrials,Farm & Heavy Construction Machinery,Marcopolo S.A.,MARCOPOLO   PN      N2,37.8774,-32.7473,3806746.0,6.9678
2018-02-08,-0.25,PRIO3.SA,-12.718899832313523,2018,PRIO3,Energy,Oil & Gas E&P,Prio S.A.,PRIO        ON      NM,60.0821,-50.2053,4582642.0,16.0913
2018-02-08,-0.25,PSSA3.SA,14.160144105818206,2018,PSSA3,Financial Services,Insurance - Diversified,Porto Seguro S.A.,PORTO SEGUROON      NM,32.2711,-19.4936,1328397.0,53.5316
2018-02-08,-0.25,RADL3.SA,-0.06263271562014783,2018,RADL3,Healthcare,Pharmaceutical Retailers,Raia Drogasil S.A.,RAIADROGASILON      NM,31.0692,-36.2333,6793999.0,-36.2333
2018-02-08,-0.25,RAIL3.SA,4.199067912692844,2018,RAIL3,Industrials,Railroads,Rumo S.A.,RUMO S.A.   ON      NM,35.8511,-15.7047,7161177.0,30.8699
2018-02-08,-0.25,RENT3.SA,23.064070480012422,2018,RENT3,Industrials,Rental & Leasing Services,Localiza Rent a Car S.A.,LOCALIZA    ON      NM,39.8762,-29.4503,4760789.0,32.104
2018-02-08,-0.25,SANB11.SA,5.922956449882655,2018,SANB11,Financial Services,Banks - Regional,Banco Santander (Brasil) S.A.,SANTANDER BRUNT,33.9534,-28.3129,1818678.0,38.5674
2018-02-08,-0.25,SBSP3.SA,14.277153919219288,2018,SBSP3,Utilities,Utilities - Regulated Water,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SABESP      ON      NM,32.4992,-40.2108,8797094.0,-6.2554
2018-02-08,-0.25,SLCE3.SA,9.062590289570327,2018,SLCE3,Consumer Defensive,Farm Products,SLC Agrícola S.A.,SLC AGRICOLAON      NM,46.6519,-37.9388,2952848.0,58.9785
2018-02-08,-0.25,SUZB3.SA,16.164680388767017,2018,SUZB3,Basic Materials,Paper & Paper Products,Suzano S.A.,SUZANO S.A. ON      NM,47.6796,-37.1555,5117154.0,103.6396
2018-02-08,-0.25,TAEE11.SA,5.343506783247087,2018,TAEE11,Utilities,Utilities - Regulated Electric,Transmissora Aliança de Energia Elétrica S.A.,TAESA       UNT     N2,21.9758,-12.4749,1864588.0,25.4202
