copom_date,delta_selic,sector,median_return_30d,copom_direction,industry
2021-10-28,1.5,Healthcare,-3.194906077518067,alta,Diagnostics & Research
2021-10-28,1.5,Industrials,0.9166980977283079,alta,Rental & Leasing Services
2021-10-28,1.5,Real Estate,8.967656727970219,alta,Real Estate - Development
2021-10-28,1.5,Technology,-4.3650633384135995,alta,Software - Application
2021-10-28,1.5,Utilities,-0.47957468683542115,alta,Utilities - Regulated Electric
2021-12-09,1.5,Basic Materials,-1.5222466450717342,alta,Steel
2021-12-09,1.5,Communication Services,-3.3325902101759617,alta,Telecom Services
2021-12-09,1.5,Consumer Cyclical,-15.297142307083094,alta,Specialty Retail
2021-12-09,1.5,Consumer Defensive,-5.347596358801687,alta,Education & Training Services
2021-12-09,1.5,Energy,-4.251208641103455,alta,Oil & Gas E&P
2021-12-09,1.5,Financial Services,-7.010978880510798,alta,Banks - Regional
2021-12-09,1.5,Healthcare,-11.520941129334673,alta,Diagnostics & Research
2021-12-09,1.5,Industrials,-10.953337189492762,alta,Rental & Leasing Services
2021-12-09,1.5,Real Estate,-16.6005565792821,alta,Real Estate - Development
2021-12-09,1.5,Technology,-22.00512334543555,alta,Software - Application
2021-12-09,1.5,Utilities,-8.353729550809208,alta,Utilities - Regulated Electric
2022-02-03,1.5,Basic Materials,-3.0024463235976517,alta,Steel
2022-02-03,1.5,Communication Services,-2.398784916212354,alta,Telecom Services
2022-02-03,1.5,Consumer Cyclical,-3.1349158911442077,alta,Specialty Retail
2022-02-03,1.5,Consumer Defensive,-1.4728761339652063,alta,Education & Training Services
2022-02-03,1.5,Energy,3.0416182678571158,alta,Oil & Gas E&P
2022-02-03,1.5,Financial Services,-0.39496734499846475,alta,Banks - Regional
2022-02-03,1.5,Healthcare,6.51299044008562,alta,Diagnostics & Research
2022-02-03,1.5,Industrials,-7.731075805700744,alta,Rental & Leasing Services
2022-02-03,1.5,Real Estate,-4.368461897721887,alta,Real Estate - Development
2022-02-03,1.5,Technology,14.084996384240078,alta,Software - Application
2022-02-03,1.5,Utilities,3.8692735047123006,alta,Utilities - Regulated Electric
2022-03-17,1.0,Basic Materials,-5.211719285411154,alta,Steel
2022-03-17,1.0,Communication Services,2.2412087297621897,alta,Telecom Services
2022-03-17,1.0,Consumer Cyclical,-0.04999154540679118,alta,Specialty Retail
2022-03-17,1.0,Consumer Defensive,3.1579045780179893,alta,Education & Training Services
2022-03-17,1.0,Energy,12.173251354316017,alta,Oil & Gas E&P
2022-03-17,1.0,Financial Services,0.7185099497360459,alta,Banks - Regional
2022-03-17,1.0,Healthcare,-1.9789918070716284,alta,Diagnostics & Research
2022-03-17,1.0,Industrials,2.234720854693961,alta,Rental & Leasing Services
2022-03-17,1.0,Real Estate,6.267874232829906,alta,Real Estate - Development
2022-03-17,1.0,Technology,3.9192282796348232,alta,Software - Application
2022-03-17,1.0,Utilities,4.651146927388017,alta,Utilities - Regulated Electric
2022-05-05,1.0,Basic Materials,8.867157527786883,alta,Steel
2022-05-05,1.0,Communication Services,1.628531591457466,alta,Telecom Services
2022-05-05,1.0,Consumer Cyclical,-3.937933982313341,alta,Specialty Retail
2022-05-05,1.0,Consumer Defensive,5.173601621009127,alta,Education & Training Services
2022-05-05,1.0,Energy,6.900571792012045,alta,Oil & Gas E&P
2022-05-05,1.0,Financial Services,7.768879041351228,alta,Banks - Regional
2022-05-05,1.0,Healthcare,11.889870622092047,alta,Diagnostics & Research
2022-05-05,1.0,Industrials,5.3691348164946255,alta,Rental & Leasing Services
2022-05-05,1.0,Real Estate,0.6762221650426503,alta,Real Estate - Development
2022-05-05,1.0,Technology,6.348626026519577,alta,Software - Application
2022-05-05,1.0,Utilities,4.64852397435227,alta,Utilities - Regulated Electric
2022-06-17,0.5,Basic Materials,-8.415845890118934,alta,Steel
2022-06-17,0.5,Communication Services,4.41134480880252,alta,Telecom Services
2022-06-17,0.5,Consumer Cyclical,0.49232379689705397,alta,Specialty Retail
2022-06-17,0.5,Consumer Defensive,4.296867539350302,alta,Education & Training Services
2022-06-17,0.5,Energy,-5.521468895560943,alta,Oil & Gas E&P
2022-06-17,0.5,Financial Services,-6.476248027398457,alta,Banks - Regional
2022-06-17,0.5,Healthcare,9.970040351218978,alta,Diagnostics & Research
2022-06-17,0.5,Industrials,-2.2882229480217067,alta,Rental & Leasing Services
2022-06-17,0.5,Real Estate,12.897372688898823,alta,Real Estate - Development
2022-06-17,0.5,Technology,0.2586140644892376,alta,Software - Application
2022-06-17,0.5,Utilities,-1.3915600414832197,alta,Utilities - Regulated Electric
2022-08-04,0.5,Basic Materials,-5.306138082125134,alta,Steel
2022-08-04,0.5,Communication Services,-7.06065391492462,alta,Telecom Services
2022-08-04,0.5,Consumer Cyclical,9.734257515057067,alta,Specialty Retail
2022-08-04,0.5,Consumer Defensive,6.02739067149376,alta,Education & Training Services
2022-08-04,0.5,Energy,15.288742424963075,alta,Oil & Gas E&P
2022-08-04,0.5,Financial Services,5.100683487298041,alta,Banks - Regional
2022-08-04,0.5,Healthcare,1.9695753130451021,alta,Diagnostics & Research
2022-08-04,0.5,Industrials,2.6859816587299634,alta,Rental & Leasing Services
